Freq p' spl
838.694853 0.00236091172 41.4409951
850.183824 0.00225062595 41.0254665
861.672794 0.00182599355 39.2093849
873.161765 0.00113213359 35.0573536
884.650735 0.000158534285 17.981864
896.139706 0.00252562352 42.0267724
907.628676 0.00131225845 36.3397877
919.117647 0.000993218186 33.9202933
930.606618 0.00125939986 35.9826729
942.095588 0.00134154636 36.5315138
953.584559 0.00122426941 35.7369401
965.073529 0.00095396595 33.5700576
976.5625 0.000597414115 29.5049097
988.051471 0.000256007745 22.1444622
999.540441 0.000282712155 23.0062897
1011.02941 0.000532076735 28.4988855
1022.51838 0.000715557052 31.0722854
1034.00735 0.000794343434 31.9795663
1045.49632 0.000772998329 31.7429712
1056.98529 0.000682152145 30.6570251
1068.47426 0.000578700297 29.2284742
1079.96324 0.000531468625 28.4889527
1091.45221 0.000566797759 29.0479626
1102.94118 0.000692653532 30.7897211
1114.43015 0.000600516232 29.5498951
1125.91912 0.000534867874 28.5443304
1137.40809 0.000435389404 26.7569572
1148.89706 0.000388239171 25.7613871
1160.38603 0.000476928658 27.5484685
1171.875 0.000637996575 30.075767
1183.36397 0.00077685244 31.7861708
1194.85294 0.000839146845 32.4561594
1206.34191 0.000800321127 32.0446857
1217.83088 0.000656924132 30.3297044
1229.31985 0.000431380083 26.6766019
1240.80882 0.000196325667 19.8389417
1252.29779 0.000268958281 22.5730985
1263.78676 0.000520471417 28.3073378
1275.27574 0.000724859541 31.1844773
1286.76471 0.000828414676 32.3443558
1298.25368 0.000639647415 30.0982131
1309.74265 0.000827806587 32.3379776
1321.23162 0.000615123679 29.758649
1332.72059 0.000362803743 25.1728353
1344.20956 0.000140359112 16.9242123
1355.69853 0.000265970498 22.4760694
1367.1875 0.000487068695 27.7312044
1378.67647 0.000649940619 30.2368737
1390.16544 0.000727738887 31.2189117
1401.65441 0.000713806568 31.0510109
1413.14338 0.000612959914 29.7280416
1424.63235 0.000451443636 27.0714708
1436.12132 0.00028244803 22.9981711
1447.61029 0.000236195515 21.444833
1459.09926 0.000350284057 24.8678075
1470.58824 0.000471400098 27.4471935
1482.07721 0.000534099243 28.5318393
1493.56618 0.000524680801 28.3773035
1505.05515 0.000682029764 30.6554666
1516.54412 0.000481737464 27.6356085
1528.03309 0.000404049175 26.1080846
1539.52206 0.000383343746 25.6511677
1551.01103 0.00040041086 26.029517
1562.5 0.000415354527 26.3477791
1573.98897 0.000403360423 26.0932658
1585.47794 0.000366372266 25.2578519
1596.96691 0.000332555703 24.4166881
1608.45588 0.000342383073 24.6696458
1619.94485 0.000399008905 25.9990519
1631.43382 0.000466043902 27.3479367
1642.92279 0.000507146026 28.0820606
1654.41176 0.000501931837 27.992295
1665.90074 0.000445153028 26.9495867
1677.38971 0.000347066261 24.787648
1688.87868 0.000242909469 21.688289
1700.36765 0.000240370213 21.597013
1711.85662 0.00031108552 23.836996
1723.34559 0.000425541858 26.5582458
1734.83456 0.000508595417 28.1068489
1746.32353 0.000537302571 28.5837785
1757.8125 0.000504253228 28.0323738
1769.30147 0.000414461541 26.3290848
1780.79044 0.0002877256 23.1589702
1792.27941 0.00018002684 19.0861453
1803.76838 0.000212825031 20.5398542
1815.25735 0.000334704116 24.4726212
1826.74632 0.000441158957 26.8713021
1838.23529 0.000498004467 27.9240649
1849.72426 0.000495327405 27.8772472
1861.21324 0.000437687186 26.8026767
1872.70221 0.000344694716 24.7280926
1884.19118 0.000264613217 22.4316308
1895.68015 0.000366591946 25.2630585
