Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct 
0.079005 0.640671251 0.320318912 0.213543458 0.160156912 0.128127038 
0.0790075 0.641302721 0.320634657 0.213753953 0.16031478 0.128253336 
0.07901 0.641933023 0.320949817 0.213964059 0.160472356 0.128379399 
0.0790125 0.642562153 0.321264391 0.214173774 0.160629639 0.128505229 
0.079015 0.643190112 0.32157838 0.214383099 0.160786629 0.128630823 
0.0790175 0.643816897 0.321891782 0.214592031 0.160943326 0.128756183 
0.07902 0.644442507 0.322204597 0.214800572 0.161099728 0.128881307 
0.0790225 0.64506694 0.322516822 0.215008721 0.161255836 0.129006196 
0.079025 0.645690198 0.322828461 0.215216478 0.16141165 0.129130849 
0.0790275 0.646312279 0.32313951 0.215423842 0.161567169 0.129255267 
0.07903 0.646933184 0.323449967 0.215630814 0.161722395 0.129379449 
0.0790325 0.647552914 0.323759837 0.215837395 0.161877327 0.129503396 
0.079035 0.648171471 0.324069122 0.216043585 0.162031966 0.129627108 
0.0790375 0.648788858 0.32437782 0.216249384 0.162186311 0.129750585 
0.07904 0.649405078 0.324685937 0.216454794 0.162340365 0.12987383 
0.0790425 0.650020138 0.324993473 0.216659816 0.162494127 0.129996841 
0.079045 0.650634044 0.325300433 0.216864452 0.1626476 0.130119622 
0.0790475 0.651246806 0.325606821 0.217068707 0.162800786 0.130242174 
0.07905 0.651858437 0.325912644 0.217272586 0.16295369 0.1303645 
0.0790525 0.65246895 0.326217908 0.217476091 0.163106315 0.130486601 
0.079055 0.653078358 0.32652262 0.217679229 0.163258663 0.130608482 
0.0790575 0.653686685 0.326826791 0.217882006 0.163410742 0.130730146 
0.07906 0.654293952 0.327130431 0.21808443 0.163562555 0.130851597 
0.0790625 0.654900186 0.327433552 0.218286508 0.163714109 0.130972841 
0.079065 0.655505412 0.327736173 0.218488252 0.163865412 0.131093884 
0.0790675 0.65610967 0.328038307 0.218689672 0.164016473 0.131214733 
0.07907 0.656712995 0.328339978 0.218890783 0.164167301 0.131335396 
0.0790725 0.657315437 0.328641207 0.219091601 0.164317909 0.131455882 
0.079075 0.657917054 0.328942025 0.219292143 0.164468311 0.131576204 
0.0790775 0.658517913 0.329242464 0.219492432 0.164618523 0.131696374 
0.07908 0.659118098 0.329542564 0.219692496 0.164768566 0.131816408 
0.0790825 0.659717705 0.329842375 0.219892367 0.164918465 0.131936326 
0.079085 0.660316856 0.330141958 0.220092085 0.165068248 0.132056153 
0.0790875 0.660915704 0.330441388 0.220291702 0.165217956 0.132175919 
0.07909 0.661514459 0.33074077 0.220491287 0.16536764 0.132295666 
0.0790925 0.662113402 0.331040246 0.220690934 0.165517371 0.13241545 
0.079095 0.662712977 0.331340035 0.22089079 0.165667259 0.13253536 
0.0790975 0.663311734 0.331639408 0.221090367 0.165816936 0.132655101 
0.0791 0.663907875 0.331937506 0.221289101 0.165965978 0.132774332 
0.0791025 0.664500901 0.332234007 0.221486767 0.166114226 0.13289293 
0.079105 0.665088398 0.332527796 0.221682602 0.166261085 0.133010411 
0.0791075 0.665669236 0.33281824 0.221876231 0.1664063 0.13312658 
0.07911 0.666244475 0.333105907 0.222067981 0.166550106 0.133241622 
0.0791125 0.666814684 0.333390971 0.222258057 0.166692652 0.133355648 
0.079115 0.667379959 0.333673621 0.222446457 0.166833955 0.133468699 
0.0791175 0.667940763 0.333954076 0.222633437 0.16697416 0.133580847 
0.07912 0.668497067 0.334232141 0.222818848 0.167113242 0.133692122 
0.0791225 0.669049223 0.334508179 0.223002888 0.167251263 0.133802526 
0.079125 0.669597056 0.334782291 0.223185516 0.167388194 0.133912066 
0.0791275 0.670140709 0.33505406 0.223366727 0.167524141 0.134020838 
0.07913 0.670680661 0.335323978 0.223546737 0.167659152 0.134128839 
