Freq p' spl
976.5625 0.000548880457 28.7689554
988.051471 0.000295490513 23.3902709
999.540441 0.000136380103 16.6744204
1011.02941 0.000372915204 25.4116019
1022.51838 0.0004449279 26.9451929
1034.00735 0.000334762042 24.4741242
1045.49632 0.000214146018 20.5936002
1056.98529 0.000280484396 22.9375742
1068.47426 0.000326408813 24.2546376
1079.96324 0.00028106967 22.9556798
1091.45221 0.000262937941 22.3764652
1102.94118 0.000325167635 24.2215463
1114.43015 0.000266944206 22.5078101
1125.91912 0.000249098933 21.9068374
1137.40809 0.000328016556 24.2973154
1148.89706 0.000377391771 25.5152486
1160.38603 0.000291480842 23.2716004
1171.875 0.000151996025 17.6160447
1183.36397 0.000284178822 23.0512343
1194.85294 0.000414891775 26.3380966
1206.34191 0.000363266734 25.1839127
1217.83088 0.000151598918 17.5933221
1229.31985 0.000205919319 20.253342
1240.80882 0.000402942938 26.0842711
1252.29779 0.00041186243 26.2744436
1263.78676 0.00022225195 20.9163117
1275.27574 0.000125331522 15.9406063
1286.76471 0.000354856498 24.9804553
1298.25368 0.000330825961 24.3713917
1309.74265 0.000348303943 24.8185679
1321.23162 7.64583756e-05 11.6479014
1332.72059 0.000238670786 21.5353853
1344.20956 0.00039290206 25.8650862
1355.69853 0.000352957842 24.9338568
1367.1875 0.000156341775 17.8609008
1378.67647 0.000150155403 17.5102194
1390.16544 0.000328119403 24.3000383
1401.65441 0.000353141165 24.938367
1413.14338 0.000217797539 20.7404595
1424.63235 0.000106877234 14.5571042
1436.12132 0.000256953106 22.1764775
1447.61029 0.000318116627 24.0311275
1459.09926 0.000238454725 21.5275187
1470.58824 0.000133605655 16.4958969
1482.07721 0.000210898397 20.4608657
1493.56618 0.000271787406 22.6639867
1505.05515 0.000332303966 24.4101106
1516.54412 0.000193110145 19.6955019
1528.03309 0.000185937336 19.3667322
1539.52206 0.000218719159 20.7771366
1551.01103 0.000212299514 20.5183801
1562.5 0.000203300599 20.1421732
1573.98897 0.000216198031 20.6764348
1585.47794 0.000203289827 20.141713
1596.96691 0.000167375099 18.453217
1608.45588 0.000191606158 19.6275893
1619.94485 0.000241041553 21.6212384
1631.43382 0.000225019198 21.0237915
1642.92279 0.000147894511 17.3784412
1654.41176 0.000155935639 17.8383078
1665.90074 0.000243121618 21.6958716
1677.38971 0.000257064894 22.1802555
1688.87868 0.000172732742 18.7268934
1700.36765 0.000121019172 15.6364836
1711.85662 0.00021237258 20.521369
1723.34559 0.000265116741 22.4481431
1734.83456 0.000204997684 20.2143792
1746.32353 9.49062422e-05 13.5252956
1757.8125 0.000172759904 18.7282592
1769.30147 0.000261620444 22.3328337
1780.79044 0.000238060346 21.5131413
1792.27941 0.000122026865 15.7085092
1803.76838 0.000125708824 15.9667154
1815.25735 0.000235656044 21.4249717
1826.74632 0.000249974264 21.9373061
1838.23529 0.000159969873 18.0601641
1849.72426 0.000100614713 14.0326299
1861.21324 0.000197679722 19.8986425
1872.70221 0.000239417319 21.5625114
1884.19118 0.000186516107 19.3937269
1895.68015 0.000177007116 18.9392146
1907.16912 0.000125296552 15.9381825
1918.65809 0.000207927135 20.3376235
1930.14706 0.00019274136 19.6788985
1941.63603 0.000127348931 16.0793062
1953.125 0.000125975844 15.9851456
1964.61397 0.000175176397 18.8489119
1976.10294 0.000182326449 19.1963936
